,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000162458.13,0.002158096,-0.035963085,-0.027969312,0.042373344,-0.07065338,-0.046038896,-0.015195767,0.05873557,0.104580455,0.035467878,-0.006002082,-0.028910866,0.100929916,0.08809371,0.05637534,0.057446793,-0.05744307,-0.003675406,0.04139087,0.0067215106
ENSG00000116809.12,-0.0056647453,0.01759802,0.08575299,-0.066105105,0.019181255,-0.082612105,-0.021262193,-0.04249439,0.09805992,0.047246207,0.08354749,0.04955602,0.04855708,-0.012685199,0.04322143,-0.01121115,-0.07421237,0.03052613,-0.12587114,0.023703234
ENSG00000142627.13,0.07728596,0.07020631,-0.04230285,0.054492284,0.056019757,-0.14815274,-0.14689754,0.034866888,0.07926369,-0.07550987,-0.07994004,0.0192802,0.048338257,0.025994673,0.040889286,0.0653084,0.00022229274,-0.20747335,-0.012844369,0.049825314
ENSG00000142632.17,-0.08580621,0.0044094957,0.02470459,-0.011787395,-0.0730671,-0.040125366,-0.11488865,0.057701454,0.022117535,0.018134154,0.03887379,0.047494873,0.00043101126,0.03089612,-0.05204786,0.041834947,-0.08431492,0.056968678,-0.043708973,0.0691619
ENSG00000159363.19,0.032527417,-0.047477406,-0.02374725,-0.05821803,-0.043175284,0.039899264,-0.079170056,0.060740672,0.03781998,-0.063282,0.05346262,0.027104458,-0.0017645818,0.051146474,0.06893178,0.035928015,0.0029541252,0.007251121,-0.031558458,-0.013936274
ENSG00000117115.13,-0.042118937,-0.010936572,0.109989,-0.053293865,0.0024208128,-0.08509933,-0.021127634,0.01643635,0.041759055,0.026598034,0.10113742,0.016703755,-0.045794804,0.024642458,0.00074994395,-0.06275957,-0.0016809824,-0.08145093,0.046134546,0.03588441
ENSG00000142623.11,-0.046865236,-0.08049453,0.10487566,-0.01829792,0.02810735,0.055849608,0.01930335,0.027133469,-0.018787138,-0.093216084,0.099684775,0.05558749,0.08599038,-0.021078411,0.006830687,-0.06915058,-0.034314673,-0.083811834,0.01819893,-0.029322052
ENSG00000074964.17,-0.040736057,0.024254292,0.01018823,-0.009244953,-0.08678059,-0.049641155,-0.051399957,0.045242887,0.04067643,0.033145078,-0.0010890344,0.00019417606,0.045706704,0.02428528,0.05801857,0.027006399,-0.016436722,-0.006451357,-0.096485995,0.019165454
ENSG00000159423.17,-0.07353385,-0.080846354,0.032053847,0.010577657,0.004918456,-0.042879518,-0.037554573,-0.055367123,-0.037781905,-0.037941016,-0.055462666,-0.039116066,0.051795833,0.05082886,0.062342633,-0.06265428,-0.055558257,-0.07328676,0.028015183,0.09843788
ENSG00000211454.15,-0.002718951,-0.012126891,0.007636907,0.024593668,-0.116345584,0.019326903,-0.10669205,-0.024640607,0.116401054,-0.044429738,-0.03651751,-0.064363375,0.045538925,0.030611496,-0.05299733,-0.112702124,-0.0025189167,0.04869525,-0.0006706396,0.09466847
ENSG00000040487.13,-0.061013263,-0.024010386,0.122997195,-0.104414225,-0.04880087,-0.08832646,-0.06621664,-0.010635991,0.007849189,0.038883023,-0.038334936,-0.030545367,0.08371398,0.0491334,0.08195035,-0.045564212,0.04371897,0.033441767,0.017974941,-0.024018118
ENSG00000162542.14,-0.07154562,-0.037427664,-0.028746543,-0.05815757,0.051848587,-0.06359972,-0.12592556,0.028748276,0.0047045797,-0.075336926,-0.093740456,-0.009629034,-0.057715636,0.108700015,0.10378078,-0.09591949,0.0065313173,0.047702517,-0.07538803,-0.028509557
ENSG00000178828.7,0.02008778,0.022706458,0.069647245,-0.07103855,-0.14765805,0.06312685,0.0638775,0.11985633,-0.02846638,-0.17665029,0.11227983,0.09743893,-0.09472049,-0.050987687,-0.05849662,-0.10554932,0.043212827,-0.0411515,0.063225664,0.027718479
ENSG00000169914.6,-0.029149055,0.03299936,0.03361772,-0.023451703,-0.13305107,-0.12064689,0.011970963,0.14114699,-0.016773885,-0.020903379,-0.006614948,-0.009328499,-0.02461887,0.01608492,0.01797932,0.022567408,-0.0012729759,-0.10260332,0.0535877,0.051191688
ENSG00000188257.12,0.05094973,-0.006061825,-0.19338693,0.09923004,0.11763711,0.16418464,-0.053544935,-0.04339725,-0.045273304,-0.20756377,-0.06102189,0.13111019,-0.14477672,0.22196172,-0.20349385,-0.2558657,0.06617684,-0.22460783,-0.30596805,0.050771005
ENSG00000162543.6,-0.05304003,-0.062459063,0.14914103,-0.04969822,-0.022166178,-0.06928884,-0.120990716,-0.028877506,0.008078061,0.033363856,0.023441644,0.00036838706,0.0378288,-0.034786243,-0.0014996408,-0.087728016,-0.0076302793,-0.013901742,-0.019157276,0.014225135
ENSG00000090432.7,0.0017403123,0.00077637646,0.048139922,-0.04536814,-0.025117557,-0.03214633,-0.033339884,0.07738833,0.007946286,-0.115217134,-0.0029707707,-0.09496324,0.066327505,-0.020221973,0.0014246358,-0.07471281,0.011483176,-0.06991548,0.028611083,0.02292124
ENSG00000158825.6,-0.18978877,-0.097576015,0.04805853,-0.12016199,0.043418683,-0.09699258,0.1419458,0.056660462,0.07273245,-0.004932573,-0.046068534,0.10834603,0.04331718,0.013977455,0.12954736,-0.26969147,0.09498946,0.146664,0.16270033,-0.19117999
ENSG00000075151.23,0.01632633,-0.038208734,-0.0070515005,-0.006341326,-0.010863366,-0.060574684,-0.011563158,0.01251763,0.06344478,0.0039313496,0.046948913,-0.03991029,0.02527819,0.084072344,0.0245907,-0.0023218363,-0.040208682,0.0076186997,-0.043905355,0.04216465
ENSG00000117298.16,0.0579587,0.032394998,0.042010486,-0.11794496,-0.00023803696,-0.07498816,-0.07329121,0.0039452864,0.07766338,0.024854673,-0.009496871,-0.042905442,-0.050571673,0.0826664,-0.037064377,0.05644285,-0.08670858,-0.10043897,0.025138214,0.12151847
ENSG00000076864.20,-0.0716917,0.031655192,-0.0029552106,-0.07374964,-0.023942113,-0.048929486,-0.07760689,-0.033092488,-0.02291145,-0.061747912,0.016354058,-0.021203917,0.10202208,-0.044680435,0.0055434606,-0.04599957,-0.09265812,-0.06072211,0.042305697,0.09314419
ENSG00000090686.16,-0.08919885,-0.11155317,-0.014977272,-0.004198842,0.007745758,-0.048469692,0.053098276,-0.032910958,0.10775909,-0.11937289,0.044071782,0.012292806,0.12143691,-0.047273714,0.04516437,-0.0038175115,0.005814365,-0.009285229,0.059966784,0.08761711
ENSG00000184677.18,-0.032865804,-0.08293644,-0.020859826,-0.0505892,-0.028402308,-0.03382467,0.026575617,0.026774611,-0.022824084,0.03027606,0.08312295,0.05654668,0.029171862,0.02528185,0.036322244,-0.053524524,-0.10670881,0.012771768,-0.056868877,-0.03501667
ENSG00000133216.17,0.06231961,-0.07660174,0.13492544,0.026864307,0.013404212,0.08469878,0.0503405,-0.037574552,0.11312166,-0.112233385,-0.09052592,-0.13035664,-0.02800561,0.013382719,0.060041506,-0.017704925,0.045142997,-0.14139806,-0.13707153,-0.013541241
ENSG00000004487.17,-0.12647901,-0.042308796,-0.031381555,0.07473947,-0.02201342,-0.07270019,-0.1527299,-0.08921742,0.07759925,-0.089480065,0.034047607,0.120549634,0.08323002,0.10894328,-0.05639023,0.08421194,0.05489006,0.03411665,0.017360074,0.11754028
ENSG00000169641.13,-0.07283969,0.007947271,0.020532027,-0.06668493,-0.033945,0.05569428,-0.01089356,-0.029561311,0.020202806,-0.08259111,0.008795742,0.021250857,0.008731737,0.005894266,0.028869858,-0.0310758,-0.07608657,-0.053493794,0.019769458,0.06855358
ENSG00000125945.15,0.011444005,-0.09509395,-0.039741497,-0.03425196,-0.06300024,0.014736371,-0.060956016,0.04133033,-0.06833047,-0.08469706,0.003300629,-0.029451596,0.11382132,-0.017628083,0.110423915,0.055841457,-0.025952792,-0.04118721,0.03925492,0.05713536
