"","gene_id","gene_name","logFC_MetastasisNodoLinfático_vs_TumorPrimario","logCPM_MetastasisNodoLinfático_vs_TumorPrimario","F_MetastasisNodoLinfático_vs_TumorPrimario","pvalue_MetastasisNodoLinfático_vs_TumorPrimario","FDR_MetastasisNodoLinfático_vs_TumorPrimario"
"ENSG00000012171.20","ENSG00000012171.20","SEMA3B",-2.5733021160671,3.08692776983335,6.91032358188259,0.0111935688226088,0.899795673113962
"ENSG00000131944.10","ENSG00000131944.10","FAAP24",-2.85696354011997,1.90773262082425,6.90062500022497,0.0113132514977501,0.901300827113403
"ENSG00000167785.9","ENSG00000167785.9","ZNF558",-2.57025732230417,2.31358639045187,6.87501880776998,0.0114480189033408,0.901300827113403
"ENSG00000137310.12","ENSG00000137310.12","TCF19",-3.0759962477276,2.56415491126775,6.87122347773426,0.0114628408411799,0.901300827113403
"ENSG00000263934.5","ENSG00000263934.5","SNORD3A",-2.49643963212,4.99828516858123,6.86537173904169,0.0114700469883596,0.901300827113403
"ENSG00000164070.12","ENSG00000164070.12","HSPA4L",-2.87418464758226,2.25764925637467,6.84625490361999,0.0115676116135441,0.903889294070626
"ENSG00000163975.12","ENSG00000163975.12","MELTF",-2.76162469509511,4.99633511961521,6.7781387140715,0.0119550170180931,0.918170410830495
"ENSG00000166681.14","ENSG00000166681.14","BEX3",-3.62916713688645,4.67037427238414,6.76821191424229,0.0120098671218071,0.918170410830495
"ENSG00000164077.14","ENSG00000164077.14","MON1A",-2.70690516838908,2.78334167466321,6.75715396943221,0.0121329264962704,0.922300233170292
"ENSG00000101132.10","ENSG00000101132.10","PFDN4",1.32409186066546,9.08459291100447,6.72716447020007,0.0123317786616763,0.929800526379749
"ENSG00000177181.15","ENSG00000177181.15","RIMKLA",-2.80720826007278,1.8098606971782,6.7007587889596,0.0123645454998665,0.929800526379749
"ENSG00000259925.1","ENSG00000259925.1","CTA-363E6.2",-3.45731472987896,2.6752833436267,6.68927105110887,0.0125326258175122,0.930809856424033
"ENSG00000091138.13","ENSG00000091138.13","SLC26A3",2.38116766319305,7.07224922367379,6.67872412648663,0.0125776122731209,0.930809856424033
"ENSG00000145014.18","ENSG00000145014.18","TMEM44",-3.14676375984444,2.84315118089797,6.66021032156773,0.0127772646084652,0.938527320786233
"ENSG00000259038.1","ENSG00000259038.1","CTD-2325P2.4",3.9384127285809,3.36667510320659,6.65922616393575,0.0128718801391445,0.938527320786233
"ENSG00000187866.10","ENSG00000187866.10","PABIR1",-3.14372668151494,2.70980480646438,6.61664601831563,0.0130334956807906,0.938527320786233
"ENSG00000255468.7","ENSG00000255468.7","RP11-867G23.8",-2.7306885074997,2.96911890604654,6.61012077108991,0.0130583915250756,0.938527320786233
"ENSG00000249992.2","ENSG00000249992.2","TMEM158",-3.31671834314307,2.29017969732163,6.59753197234083,0.013135155024162,0.938527320786233
"ENSG00000137962.13","ENSG00000137962.13","ARHGAP29",-3.34698932541835,1.46699514636601,6.60985775090816,0.0131515946860729,0.938527320786233
"ENSG00000147050.17","ENSG00000147050.17","KDM6A",2.41889412784749,3.62434952421808,6.55702573914987,0.0133847860709156,0.948273065012075
"ENSG00000238105.7","ENSG00000238105.7","GOLGA2P5",-2.67881241218216,1.43511957497627,6.54851471903573,0.0134237554066198,0.948273065012075
"ENSG00000062282.15","ENSG00000062282.15","DGAT2",-2.69292256612671,2.68627036726213,6.50962069944444,0.0137323233121314,0.958006263468124
"ENSG00000091986.16","ENSG00000091986.16","CCDC80",-2.66749996328462,1.16388498750151,6.48817925579357,0.0138323859203369,0.958006263468124
"ENSG00000185250.16","ENSG00000185250.16","PPIL6",-3.11735466651448,2.20235520600875,6.48531932471165,0.0138709638654078,0.958006263468124
"ENSG00000073331.18","ENSG00000073331.18","ALPK1",-2.91689735027576,2.83508055349664,6.48302879802253,0.0139697753286403,0.958006263468124
"ENSG00000103549.22","ENSG00000103549.22","RNF40",-2.86143616320881,1.15825585294636,6.46258985808241,0.013972494298098,0.958006263468124
"ENSG00000026103.22","ENSG00000026103.22","FAS",-2.84439065461145,2.36204948558758,6.44614523004039,0.0141984649296578,0.96408568360652
"ENSG00000105464.4","ENSG00000105464.4","GRIN2D",-2.95725894688722,1.27971244476751,6.44487819746989,0.0142377303798638,0.96408568360652
"ENSG00000124920.14","ENSG00000124920.14","MYRF",-2.51282843261888,1.35221229274061,6.39330132860706,0.0145666339028601,0.974314001719095
"ENSG00000223806.8","ENSG00000223806.8","LINC00114",-2.60294918143412,1.77087999523286,6.37805819328598,0.0147168342731757,0.974314001719095
"ENSG00000170606.15","ENSG00000170606.15","HSPA4",-1.66158867617596,8.40907129649172,6.36362204515517,0.0147649990155494,0.974314001719095
"ENSG00000101443.18","ENSG00000101443.18","WFDC2",-3.17040019517126,5.87933735577104,6.35437032884768,0.0147930124424893,0.974314001719095
"ENSG00000214367.9","ENSG00000214367.9","HAUS3",-3.03776961847722,1.7542554605369,6.35780226408155,0.0147933196206149,0.974314001719095
"ENSG00000287151.1","ENSG00000287151.1","C2orf27A",-2.54477342256864,1.3478115636946,6.33734284141793,0.0149313983358896,0.974314001719095
"ENSG00000214029.6","ENSG00000214029.6","ZNF891",-2.53846469969473,2.62897111819804,6.2862028353943,0.0153137782122654,0.974314001719095
"ENSG00000275385.2","ENSG00000275385.2","CCL18",3.3473263728122,2.36374387779061,6.27498892542458,0.015366988896383,0.974314001719095
"ENSG00000111490.15","ENSG00000111490.15","TBC1D30",-3.47327392570685,2.41978507946113,6.27035643416305,0.0154726878937161,0.974314001719095
"ENSG00000158352.17","ENSG00000158352.17","SHROOM4",-3.30118462085841,1.47856072125807,6.25686073798009,0.0156132824982213,0.974314001719095
"ENSG00000144504.15","ENSG00000144504.15","ANKMY1",2.46719806179774,1.33529757222427,6.22952319992128,0.0156579477342815,0.974314001719095
"ENSG00000114120.14","ENSG00000114120.14","SLC25A36",-2.21708135935782,5.05092757132528,6.2283336889794,0.0157673788678636,0.974314001719095
"ENSG00000133026.13","ENSG00000133026.13","MYH10",-2.89924726771275,1.8097678036591,6.22471400150024,0.015767434129616,0.974314001719095
"ENSG00000253948.2","ENSG00000253948.2","VPS13B-DT",-2.89030332007658,2.87734090809909,6.22666041951896,0.0158125299620183,0.974314001719095
"ENSG00000151882.11","ENSG00000151882.11","CCL28",-2.34142432047044,4.56502118823385,6.21014925622498,0.0159136618046234,0.974314001719095
"ENSG00000174197.17","ENSG00000174197.17","MGA",-2.5860053029416,3.75456756794775,6.20864538088704,0.0159236935024165,0.974314001719095
"ENSG00000100003.18","ENSG00000100003.18","SEC14L2",-4.06419562150556,1.21757272085355,6.20321031912148,0.0159411228302282,0.974314001719095
"ENSG00000185798.8","ENSG00000185798.8","WDR53",-2.27347806488071,2.98234069917181,6.19714279526987,0.0159748537095883,0.974314001719095
"ENSG00000145113.22","ENSG00000145113.22","MUC4",-3.33699005575294,2.21534813949338,6.20312897399519,0.0159855478583564,0.974314001719095
"ENSG00000261572.1","ENSG00000261572.1","RP11-384L8.1",3.05108956324452,1.37363892016873,6.19572901785834,0.0160164052578787,0.974314001719095
"ENSG00000254343.2","ENSG00000254343.2","RP11-760H22.2",-3.13838600785369,1.40913716670688,6.1751276048985,0.0162246992643699,0.974314001719095
"ENSG00000198826.11","ENSG00000198826.11","ARHGAP11A",-2.31435653995313,3.84658698888316,6.18081130308641,0.016231681620886,0.974314001719095
"ENSG00000130203.10","ENSG00000130203.10","APOE",2.83723899745256,3.97313075979617,6.16334035498684,0.0163278549370674,0.974314001719095
"ENSG00000102837.7","ENSG00000102837.7","OLFM4",-3.41320920120839,7.44442535084479,6.16657725952517,0.0163407399101464,0.974314001719095
"ENSG00000006740.17","ENSG00000006740.17","ARHGAP44",-2.8867866539237,1.38892690112928,6.15100984440108,0.016449941245468,0.974314001719095
