"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",181,0.284851206666509,1.04480307321642,0.314763231197772,1,1,4758,"tags=28%, list=21%, signal=22%","MAP6/CD48/PTH1R/TIAM1/GPR83/CD79B/IL10/COL6A1/CDKN1C/TRAF1/RRAGD/TNFRSF4/ABCB1/CD86/ITGAV/SLC2A3/LRRC8C/AMACR/TGM2/DENND5A/DRC1/TLR7/IL10RA/MXD1/SPP1/NFIL3/CSF1/IGF1R/SCN9A/BMPR2/ITIH5/EEF1AKMT1/PUS1/PHLDA1/CTSZ/PTCH1/AHR/PIM1/GADD45B/SPRY4/ETFBKMT/ADAM19/SPRED2/ITGA6/LTB/PRAF2/PLIN2/PDCD2L/FGL2/SOCS1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",187,-0.291901103821083,-1.02437662427655,0.406885758998435,1,1,4398,"tags=26%, list=19%, signal=21%","PLOD2/TPM1/COL12A1/COL5A3/MXRA5/FN1/CDH2/SFRP4/COL16A1/CALD1/CXCL8/IL6/CTHRC1/CDH6/ABI3BP/SCG2/FBN2/MMP1/NTM/FAS/ECM2/TPM2/HTRA1/COL1A2/IGFBP2/ELN/TFPI2/SGCD/COMP/GPX7/NT5E/CXCL12/PCOLCE/ANPEP/COL4A1/FMOD/PCOLCE2/COL3A1/FGF2/FSTL1/CRLF1/THBS2/SNAI2/LUM/GAS1/DCN/OXTR/LAMA1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",171,0.268486288793643,0.972665882116944,0.523676880222841,1,1,3265,"tags=19%, list=14%, signal=16%","F2/CD2/CD3D/WAS/ELANE/CD79A/ETS1/IL10/INHBB/EGFR/PRKCG/GZMA/CD8A/HCLS1/SRGN/FGR/LY86/FCGR2B/MMP9/CD86/TLR1/IGSF6/ST8SIA4/GBP2/NCF4/IL12A/ITGB2/STAB1/CSF1/STAT1/SPI1/PTPRC"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",154,0.262344105308137,0.943313052091425,0.623342175066313,1,1,5876,"tags=29%, list=26%, signal=21%","F2/CD2/CD69/IL1A/HGF/CD38/RARA/GPX3/FEZ1/PLAT/HMOX1/RNASEL/SATB1/DPYD/CTH/SMAD7/BCL2L10/PLCB2/TIMP2/ISG20/EREG/F2R/ROCK1/MMP2/GADD45A/GADD45B/ANKH/CTNNB1/TXNIP/SQSTM1/SC5D/LMNA/CD14/CASP8/LEF1/BCL2L11/IFITM3/BCL2L2/CASP4/PPP3R1/MADD/RHOB/HSPB1/CCND1"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",30,0.342917114395705,0.925570779587559,0.55,1,1,4912,"tags=33%, list=21%, signal=26%","PPARD/FZD1/DLL1/DTX1/MAML2/DTX4/KAT2A/SAP30/JAG1/APH1A"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",190,0.248335177687597,0.924277011965423,0.730978260869565,1,1,6253,"tags=36%, list=27%, signal=26%","SECTM1/RSAD2/IFIT1/CD69/IFI30/PSMA2/CD38/XCL1/GZMA/SSPN/CMTR1/CMKLR1/CD86/IFIT3/OGFR/ZBP1/PTGS2/ST8SIA4/IL10RA/IFIH1/OASL/VAMP5/MX1/STAT1/ISG20/TRIM26/CMPK2/EPSTI1/RTP4/ISG15/IFI27/CXCL11/EIF4E3/IRF9/PTPN2/PIM1/NLRC5/SAMHD1/CXCL9/UBE2L6/TXNIP/DHX58/SP110/FGL2/SOCS1/MARCHF1/HLA-B/STAT2/ARID5B/RAPGEF6/CASP8/HERC6/IFI35/NMI/IFITM3/CASP4/EIF2AK2/PSME2/IFI44L/PSME1/OAS3/HLA-DQA1/MX2/IFIT2/HLA-A/TRIM21/SLC25A28/JAK2"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",39,0.321100824287812,0.912576413860125,0.614485981308411,1,1,4784,"tags=31%, list=21%, signal=24%","DKK1/FRAT1/PPARD/FZD1/DLL1/NKD1/KAT2A/DVL2/TP53/PTCH1/CTNNB1/JAG1"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",99,-0.27976646017232,-0.911767749769692,0.665584415584416,1,1,8356,"tags=32%, list=36%, signal=21%","TSPO/LONP2/PEX11A/HSD3B7/CLN6/ABCB4/SLC25A4/FDPS/UGT2B17/TOP2A/ALDH1A1/NR1I2/SLC27A2/ISOC1/IDI1/PEX14/ABCD1/SLC25A17/DHCR24/ECH1/ECI2/ESR2/EPHX2/DLG4/ACAA1/ABCC5/ACSL4/CEL/TTR/CRABP2/CRABP1/SCGB1A1"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",33,0.312476544726316,0.858551450604716,0.683962264150943,1,1,3225,"tags=27%, list=14%, signal=23%","SLCO2A1/OLR1/VCAN/FGFR1/ITGAV/VAV2/SPP1/LPL/STC1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,-0.242339324898813,-0.854981965363579,0.87402799377916,1,1,8686,"tags=39%, list=38%, signal=25%","SLC38A1/KPNB1/CDC27/RASAL2/MCM5/CKS2/EZH2/E2F1/KIF2C/FBXO5/CCNB2/SMC4/CENPE/TENT4A/PRC1/GINS2/CUL3/DTYMK/NUP50/SS18/MT2A/KPNA2/UBE2S/HIRA/AURKB/TMPO/MKI67/PRIM2/TOP2A/PBK/TACC3/RPS6KA5/TROAP/UBE2C/BRCA2/POLA2/RACGAP1/CBX1/PTTG1/BIRC5/MAD2L1/TNPO2/BARD1/STIL/CENPF/CDK1/EFNA5/MCM6/CDC20/NUMA1/ODF2/SUV39H1/TRAIP/CDKN1B/SLC7A5/NEK2/HMGB3/ORC6/CCNA2/CCNF/HIF1A/PRMT5/KIF4A/CENPA/PLK1/KMT5A/STAG1/TTK/MTF2/PLK4/KNL1/MEIS1/EXO1/CDC45/E2F2/POLQ/INCENP"
