"gene_id","gene_name","logFC_Colon.Normal","logCPM_Colon.Normal","PValue_Colon.Normal","FDR_Colon.Normal","logFC_Metastasis.Nodo.Linfático","logCPM_Metastasis.Nodo.Linfático","PValue_Metastasis.Nodo.Linfático","FDR_Metastasis.Nodo.Linfático"
"ENSG00000260912.1","RP11-363E7.4",-0.65122461540405,3.43115730243209,0.755357007751181,0.941588479543168,-0.771767191919513,3.08796728621653,0.445092999202151,0.926062018902538
"ENSG00000091136.15","LAMB1",0.400594986662161,6.56720891029677,0.755448336086072,0.941646274288109,-0.268522895096232,5.90283964784374,0.656072428439805,0.983106290925316
"ENSG00000176956.13","LY6H",-2.88593265692192,1.14997117900048,0.755573895422158,0.941719279034898,0.164993842725438,1.83864507588125,0.898363664114363,1
"ENSG00000283103.3","LLNLR-245B6.1",-0.59308324221854,2.99514940372052,0.755596841066918,0.941719279034898,0.497206445578018,3.28226302376318,0.546287469111121,0.964184004849574
"ENSG00000132376.20","INPP5K",-0.604252257947877,2.46523551014513,0.755666378858137,0.941749899193472,0.0139570980276384,2.75641581277037,0.990993421560695,1
"ENSG00000203644.3","RP11-332M2.1",0.660315715955771,3.12732514589413,0.755794313736076,0.941853288798625,-0.595880040598196,2.90957164962974,0.531974496008864,0.959550348744486
"ENSG00000137801.11","THBS1",-0.527293712897314,4.77786514834893,0.755919720335159,0.941953515605076,0.110425454481648,4.90570366922182,0.877679322970535,1
"ENSG00000021826.17","CPS1",0.728771885321888,1.10063108714845,0.756142163268749,0.942148173069704,-3.74064251019249,0.494353630710456,0.0497447259709119,0.470943288053317
"ENSG00000220157.4","HNRNPA1P12",0.62796643996381,0.470783375841695,0.756207402750898,0.942148173069704,0.763578490718103,0.318227046872048,0.403031114957097,0.906865656862111
"ENSG00000141255.13","SPATA22",0.885893293013994,-0.943726079695525,0.756210898726419,0.942148173069704,-1.18179540262425,-1.38552711047257,0.375111376078947,0.891840523812533
"ENSG00000180447.7","GAS1",-2.86812877885792,1.18698566751058,0.756369421062491,0.942289614270713,-4.85693694395674,0.761342298099721,0.0337321281145337,0.416342081533365
"ENSG00000259343.7","TMC3-AS1",-0.816104656280888,-0.0976035450727613,0.756579795194596,0.942492580647539,-1.45047436275083,-0.572366818533245,0.262046066623057,0.812244857733851
"ENSG00000133059.17","DSTYK",-0.617065153889441,2.61583046816623,0.756622350580003,0.942492580647539,-0.0499469211939893,2.81348035917004,0.957094551763213,1
"ENSG00000244229.1","RPL26P35",-0.622273203034306,0.962037755846114,0.756814559228716,0.942660544496989,0.221755778881377,0.920097003726797,0.805225321078541,1
"ENSG00000285879.1","RP11-342K2.2",0.712714815196731,0.656747499541144,0.756847215890191,0.942660544496989,0.152338152703651,0.535751213885533,0.877588168896639,1
"ENSG00000196365.12","LONP1",-0.623596860372443,3.71513501202177,0.756909522683527,0.942667964023567,0.522018680100427,3.5099949686108,0.545738443286093,0.963806811777741
"ENSG00000205277.10","MUC12",0.465193481359081,6.08120721656728,0.756943199456609,0.942667964023567,-0.746694930253412,5.89371818927548,0.208278646838737,0.749150858547353
"ENSG00000159314.11","ARHGAP27",0.530037471790746,5.05862661139204,0.757037386741524,0.942729199806208,-0.320147338030726,4.32880890662881,0.684574963165116,0.989241391462195
"ENSG00000178445.10","GLDC",-0.651750765062399,1.1834641164883,0.757203676032782,0.942880210695596,-0.685890961288703,0.731156773682468,0.469413171590568,0.93604536045568
"ENSG00000196922.10","ZNF252P",-0.507602681073526,4.19181101299377,0.757278443337615,0.942917245994193,-0.552938236416341,4.16960298508269,0.449893094000876,0.928770813596998
"ENSG00000092841.19","MYL6",-0.17365670293724,10.5570505538076,0.757371269353746,0.942976761165645,-0.085330393616094,10.4261949219378,0.942877867170857,1
"ENSG00000181026.15","AEN",0.545181046200185,4.2227265380537,0.757508621645497,0.943088588766902,1.06898727279512,4.18764046832331,0.192385969648656,0.730953363029814
"ENSG00000233593.10","LINC02609",0.753435661592128,1.23805512447644,0.757584954921224,0.943088588766902,-1.49971411763531,1.36908948883067,0.226069039105776,0.771763367887319
"ENSG00000083067.24","TRPM3",-0.787824415319168,0.491923094891272,0.757596186077051,0.943088588766902,-2.92207699589316,0.0284231183314517,0.0107391753827317,0.340663750577718
"ENSG00000258581.2","RP11-638I2.10",-0.545878463920474,2.3014167513166,0.757757403584679,0.943174176121048,0.269158880175658,2.36955513634969,0.759145847630338,1
"ENSG00000143036.17","SLC44A3",-0.515317136755155,4.79897108497622,0.757894865232095,0.943174176121048,-0.485546002977947,4.63408145476339,0.447949022068609,0.928166461026965
"ENSG00000213842.2","SUGT1P2",0.7560480239389,-0.340606728805918,0.757929863114306,0.943174176121048,0.317684963273137,-0.299208336949384,0.745663249013858,0.998454193382554
"ENSG00000199990.1","VTRNA1-1",-0.590431424013893,3.19327634636905,0.757982775979075,0.943174176121048,-0.482866383032706,3.01610631163382,0.6725737791598,0.986356243159942
