"","gene_id","gene_name","logFC_ColonNormal_vs_TumorPrimario","logCPM_ColonNormal_vs_TumorPrimario","F_ColonNormal_vs_TumorPrimario","pvalue_ColonNormal_vs_TumorPrimario","FDR_ColonNormal_vs_TumorPrimario","logFC_MetastasisHigado_vs_TumorPrimario","logCPM_MetastasisHigado_vs_TumorPrimario","F_MetastasisHigado_vs_TumorPrimario","pvalue_MetastasisHigado_vs_TumorPrimario","FDR_MetastasisHigado_vs_TumorPrimario","logFC_MetastasisNodoLinfático_vs_TumorPrimario","logCPM_MetastasisNodoLinfático_vs_TumorPrimario","F_MetastasisNodoLinfático_vs_TumorPrimario","pvalue_MetastasisNodoLinfático_vs_TumorPrimario","FDR_MetastasisNodoLinfático_vs_TumorPrimario"
"7787","ENSG00000104427.12","ZC2HC1A",-4.06404013077237,2.78145793733055,1.0333442562487,0.317316613913467,0.625939667710809,1.87304084206001,2.78145793733055,0.578471009421429,0.452712618179159,1,-0.701933847631468,2.78145793733055,0.222125223029437,0.640756400598417,1
"7788","ENSG00000114670.14","NEK11",-2.48638210641063,2.00702346318864,1.03440824082739,0.317374888737363,0.625939667710809,1.61245950363695,2.00702346318864,1.52547519018081,0.2265162636283,1,0.185521409443195,2.00702346318864,0.0277415651101115,0.86885148976021,1
"7789","ENSG00000172239.14","PAIP1",-1.35943580314944,5.32507876234877,1.03410535353275,0.317393251094892,0.625939667710809,0.619046557082676,5.32507876234877,0.185985948851553,0.669386839523759,1,-0.1011274930752,5.32507876234877,0.00976805387499244,0.921933258341626,1
"7790","ENSG00000153291.16","SLC25A27",-8.52642625268087,1.01726468125672,1.03666044184762,0.317438143426812,0.625939667710809,5.6285196102882,1.01726468125672,7.80782787481515,0.00934748420712811,0.326839090064698,3.31358247287082,1.01726468125672,2.21121538879498,0.148341676790295,1
"7791","ENSG00000111802.14","TDP2",-0.930165429197469,7.24619589221063,1.03428023254144,0.317443749687572,0.625939667710809,-0.461453718245164,7.24619589221063,0.171553827172414,0.681737876960807,1,-0.321701123390851,7.24619589221063,0.226041381788028,0.637984704822309,1
"7792","ENSG00000138814.17","PPP3CA",-1.29803212868396,4.68279619519191,1.03245304094714,0.31745996976612,0.625939667710809,1.28139050599926,4.68279619519191,0.699900882990242,0.409229371593302,1,0.254721026359925,4.68279619519191,0.087436321409755,0.769436604096418,1
"7793","ENSG00000014138.9","POLA2",-1.44019795579175,2.28934288746881,1.0289688385054,0.317589067395305,0.626088254905515,0.0174821293121087,2.28934288746881,0.000162339875549543,0.989908932114753,1,-1.56977364108552,2.28934288746881,2.20174611433571,0.147096805389104,1
"7794","ENSG00000219133.2","RP11-203F10.6",-1.05904555141302,4.32322536928723,1.03125730304847,0.317610374774952,0.626088254905515,-0.358516853482833,4.32322536928723,0.0902710905212085,0.76580939449481,1,-0.0751326402106988,4.32322536928723,0.00991200794920841,0.921326120852174,1
"7795","ENSG00000214063.11","TSPAN4",-1.92866814568471,1.18511707936521,1.0287782304115,0.317738092714772,0.626129101762736,-3.91511016019347,1.18511707936521,2.94319232626599,0.095505322482629,0.978104566268637,1.58634288776215,1.18511707936521,2.30093848572735,0.138705524550819,1
"7796","ENSG00000188092.15","GPR89B",-1.53356620170707,2.17734594301785,1.0292359526625,0.317769336179873,0.626129101762736,0.759869406686075,2.17734594301785,0.314035379850241,0.579025191808839,1,0.214444250371685,2.17734594301785,0.0470200266020302,0.829676380186631,1
"7797","ENSG00000168101.14","NUDT16L1",-1.29811258217929,4.6690080653873,1.03138234546454,0.317834252038769,0.626129101762736,-0.100545559873415,4.6690080653873,0.00544172178256545,0.941677321394261,1,-0.234026116681781,4.6690080653873,0.0694547593977412,0.793907182992937,1
"7798","ENSG00000264424.1","MYH4",-7.89478570542401,1.50211181268054,1.03793998740142,0.318023583662989,0.626295818906113,-6.84635823766197,1.50211181268054,6.76648004135,0.0153566205276205,0.410727144363591,0.0976587043948668,1.50211181268054,0.00311343846734037,0.955944479162314,1
"7799","ENSG00000242498.8","ARPIN",1.2466044351036,3.17915738381171,1.02700745065722,0.318627213185375,0.627008689288351,1.69096723648961,3.17915738381171,1.04716200349286,0.314000254815304,1,0.391723448722211,3.17915738381171,0.16352360398325,0.688681004567102,1
"7800","ENSG00000244086.1","RPS20P35",-1.20051516804354,2.54741376477601,1.02530638272096,0.318783575843665,0.627128672560275,-0.335096053307708,2.54741376477601,0.06821410552785,0.795611951171041,1,0.178101806353497,2.54741376477601,0.0467711342661723,0.830139194230692,1
"7801","ENSG00000158874.11","APOA2",4.35786023354658,3.27754112625584,1.03030612695567,0.318800487528054,0.627128672560275,4.37180615119391,3.27754112625584,3.31203424265402,0.0795094302427606,0.910760004524008,4.63780017771513,3.27754112625584,4.69841387922256,0.0388697656453943,0.784272013738843
"7802","ENSG00000111011.18","RSRC2",-1.04776247980474,6.65517116367233,1.02838114662467,0.318845750260878,0.627143784246623,0.557921847069791,6.65517116367233,0.196620688351758,0.660721590833596,1,-0.263621737425904,6.65517116367233,0.100982770164874,0.752908596033233,1
"7803","ENSG00000225573.4","RPL35P5",-0.982831677922141,4.12745815268765,1.02547466398524,0.318986219620326,0.627146905087558,-0.638141048559097,4.12745815268765,0.303740814044735,0.585458580286676,1,0.096181748039633,4.12745815268765,0.0178949626104961,0.894439003984702,1
"7804","ENSG00000119917.15","IFIT3",-2.27620283364173,2.00567527697291,1.02976985317519,0.319010587874571,0.627146905087558,-0.946102112495315,2.00567527697291,0.286719054114456,0.596611703136198,1,1.45209054337544,2.00567527697291,1.80264890144276,0.190311917421862,1
"7805","ENSG00000133816.18","MICAL2",-1.3649217608522,3.93169876783295,1.02487565166436,0.319016258131467,0.627146905087558,0.464446118061994,3.93169876783295,0.12818153162048,0.722693681985368,1,-0.0830545411127914,3.93169876783295,0.00801343980614247,0.929232548851922,1
"7806","ENSG00000128595.17","CALU",-1.22950854229689,5.59352063334256,1.02678753528501,0.319090684976413,0.627235217005416,0.319733362176897,5.59352063334256,0.0489576425643514,0.826399802637886,1,0.0610142758054341,5.59352063334256,0.00519353349375551,0.943031895452922,1
"7807","ENSG00000140564.13","FURIN",-1.61454533310305,4.1202342826022,1.02527918957694,0.319222116777602,0.627303757804347,0.596415822661667,4.1202342826022,0.147480583993042,0.703614491738439,1,0.320883290837232,4.1202342826022,0.111199219693146,0.74106074165861,1
"7808","ENSG00000168237.18","GLYCTK",-1.77454005732128,3.6004974572133,1.02480919035158,0.31924903746831,0.627303757804347,-0.485893213641571,3.6004974572133,0.119453885687503,0.731971458011313,1,-0.218740203215096,3.6004974572133,0.0504032893100369,0.823842174295594,1
"7809","ENSG00000159210.10","SNF8",-1.11644723361846,4.26448176148052,1.02430649381714,0.319291541513368,0.627303757804347,0.386887652119335,4.26448176148052,0.0855721623520593,0.771821921976124,1,-0.978256982921542,4.26448176148052,1.12989951375472,0.295962590269969,1
"7810","ENSG00000068912.14","ERLEC1",-1.20764996324538,5.61134141008742,1.02447194974707,0.319583409483514,0.62768142112066,0.667719481773505,5.61134141008742,0.270002082173483,0.607156904234778,1,-0.530139460722972,5.61134141008742,0.381774830525508,0.541333936753938,1
"7811","ENSG00000241556.1","RP11-490G8.1",-0.989814108493095,3.25782864181777,1.02206453227739,0.319708737419216,0.62779564131081,-0.357342677364796,3.25782864181777,0.0860120221943386,0.771227107210128,1,-0.273649809753491,3.25782864181777,0.132113224880068,0.718671417170291,1
"7812","ENSG00000170291.15","ELP5",-1.14223924775226,5.03648072382163,1.02266052228615,0.319738138472562,0.62779564131081,0.194531247813467,5.03648072382163,0.0189001102338191,0.891544681016006,1,-0.54523700332728,5.03648072382163,0.326810699778305,0.571676348713703,1
"7813","ENSG00000168374.11","ARF4",0.827821658406742,8.12266039612106,1.02326856223969,0.320079398089488,0.628017344160999,-0.357182743506982,8.12266039612106,0.100179741052064,0.753872589347331,1,-0.166198461534497,8.12266039612106,0.0552538899451328,0.815806692619869,1
"7814","ENSG00000108107.15","RPL28",-0.511845590145888,9.79804936058023,1.02178471773687,0.320434136559554,0.62845846283764,-0.184817052629791,9.79804936058023,0.071189671770695,0.791495619567305,1,0.0921503223194121,9.79804936058023,0.0456694130107378,0.832269309051355,1
