,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000117640.18,-0.091686584,0.065879606,0.043109953,-0.013967837,-0.09103454,0.03737735,0.008603376,0.0058800858,-0.046516985,0.03693786,-0.021810126,0.036867194,-0.019922297,-0.024827724,0.07056744,-0.012007215,0.0717003,-0.066810295,0.028312718,0.064108506
ENSG00000117632.23,-0.04776867,-0.19288386,-0.12637146,0.108026996,0.17468543,-0.122740135,0.17470782,0.071290284,0.06414377,0.032228585,-0.0014990189,0.21632105,-0.1069652,-0.18779325,-0.08140542,-0.07833043,0.09504109,0.14251824,-0.008218239,0.035612144
ENSG00000158006.14,-0.058177993,-0.0016584522,0.0039917594,0.005638897,-0.09207987,0.046126533,0.084019355,0.041378032,0.07066637,0.023543421,-0.058703937,0.042619914,0.08512181,0.052033022,0.05412027,0.070928395,0.09385238,-0.044702355,0.048788052,0.051851336
ENSG00000175087.10,-0.002835793,0.052133773,-0.026158193,0.10264553,-0.05750355,-0.09984771,0.10240184,0.05768637,-0.06653304,-0.055633485,0.005038798,-0.03029897,0.077510975,0.03221479,0.0033723179,-0.07216805,-0.055669293,0.04800689,-0.004848864,-0.029005263
ENSG00000130695.16,0.049640406,0.016687235,0.09117844,-0.019155499,-0.048993457,-0.11700742,0.012742583,0.13947476,-0.016544256,0.05112112,-0.12877095,0.011680285,-0.026747333,0.041344658,0.05372385,-0.0036409835,0.024312146,0.10977714,-0.028283704,0.11066002
ENSG00000176092.17,-0.0029125416,0.04944984,0.13445623,-0.0023217972,-0.027551115,-0.11501675,0.12936954,-0.042330768,0.039989278,-0.046920832,0.026914185,-0.061540272,-0.050765984,-0.012731906,0.07032274,-0.0755217,0.008848144,-0.06555331,0.015458613,0.01990296
ENSG00000117682.17,-0.10713076,-0.014934831,0.070571356,0.04536634,-0.0005946721,-0.014810061,0.106527574,-0.05835822,-0.024503341,-0.012911379,0.06423479,0.058221504,0.009558972,-0.11886569,0.01066122,-0.074351415,0.03412742,0.049943574,-0.03460005,0.085561186
ENSG00000117676.14,-0.101057276,-0.032281354,-0.037975583,-0.01960878,-0.094498426,-0.11334327,0.08778017,-0.024997877,0.0100132525,0.03925755,-0.010079541,-0.047282964,-0.034693446,0.01209235,0.11801239,-0.000261356,0.08991993,0.08183876,0.07337735,-0.017832724
ENSG00000060642.11,0.0043564597,0.063024476,-0.04863803,0.02260756,-0.050633285,-0.103678055,0.079733945,-0.06419953,-0.029965574,-0.10396762,0.03825777,0.0050139586,0.026460506,-0.028994856,-0.060979594,-0.08982336,0.0465931,0.042959474,0.038671236,0.08270869
ENSG00000142751.15,0.0050950656,0.005400928,0.055204645,0.06185712,0.0026366632,-0.06009347,0.05104849,-0.030045811,0.039122716,-0.07230516,0.046484623,0.028085386,0.052921083,-0.03563782,0.0152757615,-0.06635123,0.018860644,0.04872073,0.061919246,0.06406518
