Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
,ENSG00000244509.4,0.28252688,Z_2,,0.28252688,,,,,,,,,,,,,,,,,
,ENSG00000137500.9,0.27677992,Z_2,,0.27677992,,,,,,,,,,,,,,,,,
,ENSG00000134905.17,0.2754873,Z_2,,-0.2754873,,,,,,,,,,,,,,,,,
,ENSG00000211897.9,0.2724667,Z_2,,0.2724667,,,,,,,,,,,,,,,,,
,ENSG00000173432.12,0.26997167,Z_2,,0.26997167,,,,,,,,,,,,,,,,,
,ENSG00000204287.14,0.26609653,Z_2,,0.26609653,,,,,,,,,,,,,,,,,
,ENSG00000183844.17,0.26213548,Z_2,,0.26213548,,,,,,,,,,,,,,,,,
,ENSG00000160180.17,0.26104936,Z_2,,-0.26104936,,,,,,,,,,,,,,,,,
,ENSG00000203760.9,0.25908843,Z_2,,0.25908843,,,,,,,,,,,,,,,,,
,ENSG00000128654.14,0.25802645,Z_2,,0.25802645,,,,,,,,,,,,,,,,,
,ENSG00000141741.12,0.25347197,Z_2,,-0.25347197,,,,,,,,,,,,,,,,,
,ENSG00000159182.5,0.25319448,Z_2,,0.25319448,,,,,,,,,,,,,,,,,
,ENSG00000145632.15,0.24902467,Z_2,,0.24902467,,,,,,,,,,,,,,,,,
,ENSG00000204257.15,0.24886371,Z_2,,0.24886371,,,,,,,,,,,,,,,,,
,ENSG00000204272.13,0.24861418,Z_2,,0.24861418,,,,,,,,,,,,,,,,,
,ENSG00000084073.10,0.24561714,Z_2,,-0.24561714,,,,,,,,,,,,,,,,,
,ENSG00000158825.6,0.24042942,Z_2,,0.24042942,,,,,,,,,,,,,,,,,
,ENSG00000124102.5,0.24033496,Z_2,,0.24033496,,,,,,,,,,,,,,,,,
,ENSG00000159713.11,0.23715936,Z_2,,0.23715936,,,,,,,,,,,,,,,,,
,ENSG00000066279.19,0.23456988,Z_2,,-0.23456988,,,,,,,,,,,,,,,,,
,ENSG00000102837.7,0.23454173,Z_2,,-0.23454173,,,,,,,,,,,,,,,,,
,ENSG00000115641.19,0.23342764,Z_2,,0.23342764,,,,,,,,,,,,,,,,,
,ENSG00000196954.14,0.23270398,Z_2,,0.23270398,,,,,,,,,,,,,,,,,
,ENSG00000026508.20,0.23254809,Z_2,,-0.23254809,,,,,,,,,,,,,,,,,
,ENSG00000196352.16,0.23139992,Z_2,,-0.23139992,,,,,,,,,,,,,,,,,
,ENSG00000131771.14,0.23010413,Z_2,,-0.23010413,,,,,,,,,,,,,,,,,
,ENSG00000124762.14,0.22921534,Z_2,,0.22921534,,,,,,,,,,,,,,,,,
,ENSG00000137575.12,0.22680363,Z_2,,0.22680363,,,,,,,,,,,,,,,,,
,ENSG00000079459.13,0.22431938,Z_2,,0.22431938,,,,,,,,,,,,,,,,,
,ENSG00000151490.15,0.22415385,Z_2,,-0.22415385,,,,,,,,,,,,,,,,,
,ENSG00000197324.9,0.22141333,Z_2,,0.22141333,,,,,,,,,,,,,,,,,
,ENSG00000138821.14,0.22097948,Z_2,,-0.22097948,,,,,,,,,,,,,,,,,
,ENSG00000106066.15,0.21864675,Z_2,,0.21864675,,,,,,,,,,,,,,,,,
,ENSG00000104823.9,0.21630713,Z_2,,0.21630713,,,,,,,,,,,,,,,,,
,ENSG00000268621.6,0.21592511,Z_2,,0.21592511,,,,,,,,,,,,,,,,,
,ENSG00000164822.5,0.44006723,Z_3,,,-0.44006723,,,,,,,,,,,,,,,,
,ENSG00000117394.24,0.43796587,Z_3,,,-0.43796587,,,,,,,,,,,,,,,,
,ENSG00000206075.14,0.43104708,Z_3,,,-0.43104708,,,,,,,,,,,,,,,,
,ENSG00000163734.4,0.36596543,Z_3,,,0.36596543,,,,,,,,,,,,,,,,
,ENSG00000160180.17,0.36357537,Z_3,,,0.36357537,,,,,,,,,,,,,,,,
,ENSG00000143416.21,0.36175427,Z_3,,,0.36175427,,,,,,,,,,,,,,,,
,ENSG00000160551.12,0.36140975,Z_3,,,0.36140975,,,,,,,,,,,,,,,,
,ENSG00000266088.6,0.35329777,Z_3,,,-0.35329777,,,,,,,,,,,,,,,,
,ENSG00000243709.1,0.33703706,Z_3,,,0.33703706,,,,,,,,,,,,,,,,
,ENSG00000140988.16,0.3351722,Z_3,,,0.3351722,,,,,,,,,,,,,,,,
,ENSG00000078401.7,0.32068017,Z_3,,,-0.32068017,,,,,,,,,,,,,,,,
,ENSG00000174695.10,0.30489844,Z_3,,,-0.30489844,,,,,,,,,,,,,,,,
,ENSG00000171431.4,0.3043626,Z_3,,,-0.3043626,,,,,,,,,,,,,,,,
,ENSG00000073849.16,0.30152372,Z_3,,,0.30152372,,,,,,,,,,,,,,,,
,ENSG00000079385.23,0.3012714,Z_3,,,-0.3012714,,,,,,,,,,,,,,,,
,ENSG00000047634.15,0.29845756,Z_3,,,0.29845756,,,,,,,,,,,,,,,,
,ENSG00000182718.18,0.28718507,Z_3,,,-0.28718507,,,,,,,,,,,,,,,,
,ENSG00000158417.11,0.27350867,Z_3,,,0.27350867,,,,,,,,,,,,,,,,
,ENSG00000118785.15,0.27261555,Z_3,,,-0.27261555,,,,,,,,,,,,,,,,
,ENSG00000091138.13,0.2658078,Z_3,,,0.2658078,,,,,,,,,,,,,,,,
,ENSG00000197930.13,0.26485637,Z_3,,,-0.26485637,,,,,,,,,,,,,,,,
,ENSG00000137575.12,0.2642743,Z_3,,,-0.2642743,,,,,,,,,,,,,,,,
,ENSG00000242247.11,0.26358357,Z_3,,,-0.26358357,,,,,,,,,,,,,,,,
,ENSG00000135046.14,0.25830543,Z_3,,,-0.25830543,,,,,,,,,,,,,,,,
,ENSG00000164761.9,0.2576161,Z_3,,,-0.2576161,,,,,,,,,,,,,,,,
,ENSG00000288057.1,0.25713888,Z_3,,,-0.25713888,,,,,,,,,,,,,,,,
,ENSG00000148180.21,0.25513923,Z_3,,,-0.25513923,,,,,,,,,,,,,,,,
,ENSG00000169908.12,0.25497067,Z_3,,,-0.25497067,,,,,,,,,,,,,,,,
,ENSG00000141429.14,0.25450972,Z_3,,,-0.25450972,,,,,,,,,,,,,,,,
,ENSG00000124102.5,0.25411192,Z_3,,,0.25411192,,,,,,,,,,,,,,,,
,ENSG00000206503.13,0.2533045,Z_3,,,-0.2533045,,,,,,,,,,,,,,,,
,ENSG00000159713.11,0.25194365,Z_3,,,-0.25194365,,,,,,,,,,,,,,,,
,ENSG00000104537.17,0.25189674,Z_3,,,-0.25189674,,,,,,,,,,,,,,,,
,ENSG00000102837.7,0.25044757,Z_3,,,0.25044757,,,,,,,,,,,,,,,,
,ENSG00000184292.7,0.24740958,Z_3,,,-0.24740958,,,,,,,,,,,,,,,,
,ENSG00000110917.8,0.2442488,Z_3,,,-0.2442488,,,,,,,,,,,,,,,,
,ENSG00000260239.2,0.2436812,Z_3,,,0.2436812,,,,,,,,,,,,,,,,
,ENSG00000184009.13,0.24274284,Z_3,,,-0.24274284,,,,,,,,,,,,,,,,
,ENSG00000132153.15,0.24155061,Z_3,,,0.24155061,,,,,,,,,,,,,,,,
,ENSG00000101443.18,0.24035779,Z_3,,,0.24035779,,,,,,,,,,,,,,,,
,ENSG00000244509.4,0.23996611,Z_3,,,-0.23996611,,,,,,,,,,,,,,,,
,ENSG00000196126.11,0.23951279,Z_3,,,-0.23951279,,,,,,,,,,,,,,,,
,ENSG00000117399.14,0.23929977,Z_3,,,0.23929977,,,,,,,,,,,,,,,,
,ENSG00000125351.13,0.23845181,Z_3,,,0.23845181,,,,,,,,,,,,,,,,
,ENSG00000196352.16,0.23736097,Z_3,,,-0.23736097,,,,,,,,,,,,,,,,
