,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000116688.18,-0.05975904,-0.018955855,0.083702154,-0.08140357,-0.004599425,-0.09188179,-0.029176082,0.095353544,0.030294405,-0.05719637,0.043468796,-0.052731905,0.054293863,-0.0790134,0.017490169,-0.07294237,0.029775722,-0.0026005907,-0.010170628,0.03574296
ENSG00000028137.19,0.025962938,-0.1326432,-0.025272798,-0.07333223,0.015986744,0.019128423,-0.019496944,0.047269437,-0.02239647,0.013885693,-0.10622807,-0.093864135,-0.0101258475,0.029074853,-0.046307825,0.03346562,-0.11298374,-0.11287299,0.056674182,-0.035447076
ENSG00000171729.14,-0.041679516,-0.043230776,0.0861012,-0.05634391,0.014252578,-0.11497477,-0.0653988,0.0445721,0.025516937,-0.024169547,-0.054186385,-0.027977759,0.03918048,0.03451561,0.010767386,-0.03981932,0.02033533,-0.027446622,0.031088533,-0.023971513
ENSG00000116786.13,-0.03241241,-0.02245925,0.0161912,-0.08273158,-0.009653403,-0.06752801,0.029209191,0.027724912,-0.017348194,0.0010196111,-0.03537575,-0.050974723,0.052539703,-0.084893316,0.008647543,0.019967066,-0.04606767,-0.02998895,0.078191094,0.033836927
ENSG00000162458.13,0.080996335,-0.06299982,-0.0048046634,-0.055509098,0.027632656,-0.015799422,0.037170436,0.07250423,-0.065232694,0.041525234,0.051718425,0.03170334,-0.004404867,-0.0575782,0.020239433,-0.07248234,-0.00026532088,0.00017443721,0.04129563,0.0042909686
ENSG00000116809.12,-0.058579367,-0.08355693,-0.00612434,-0.08428891,0.06955571,-0.043738376,0.009331396,0.026430462,0.01870336,-0.0916943,0.018341929,-0.06685848,-0.018583044,-0.07214692,-0.02170276,0.016546179,-0.06865437,0.10238667,-0.027393995,-0.009238639
ENSG00000142627.13,-0.02525956,-0.005456051,0.13261649,-0.020060383,0.08534326,-0.012658075,-0.048848066,-0.09330755,-0.053762432,-0.009500658,-0.02172043,0.077502005,0.047910668,-0.046993613,0.16439176,0.037106108,-0.06627729,-0.09063119,0.089074485,0.030166853
ENSG00000142632.17,-0.0550514,-0.013923258,-0.026012855,-0.0012684807,0.15131842,0.011067758,0.022796443,0.13208415,-0.019842165,-0.07894059,0.0077916756,0.008593479,-0.005092447,-0.061598048,-0.046695385,-0.0045279623,-0.14273044,-0.082998216,-0.05337473,-0.0005672176
ENSG00000159363.19,-0.0036066698,0.04640401,0.08817552,-0.051985838,0.0007478892,0.042507492,-0.04080789,-0.052558795,0.0042618955,-0.07115002,-0.071162835,0.024902545,0.08127971,0.001735397,0.036871996,-0.092261955,-0.025955234,0.03260248,0.06647503,-0.061656658
ENSG00000117115.13,0.019283261,-0.04600246,0.11833868,-0.031350985,-0.0036617143,0.035218745,0.06579742,0.05178079,-0.032030422,0.005261341,-0.062498845,-0.046422094,-0.024484798,-0.047477264,0.0921658,-0.041538972,0.01508007,-0.00300156,-0.032812573,-0.054663282
ENSG00000142623.11,0.13245383,-0.106413566,0.053050887,0.050813645,0.036182057,0.05967451,0.037679896,-0.0035631617,0.013297439,0.044106055,-0.0012427407,-0.07822579,0.052722793,0.032686844,0.0836892,-0.12605038,0.024781592,-0.0042856787,0.10578236,-0.1020855
ENSG00000074964.17,0.11962845,-0.09144216,0.05242688,0.038737416,-0.017310327,0.035845503,0.023455508,0.080150954,-0.092127524,-0.039089765,0.0033945194,-0.03173577,-0.048285108,-0.046006616,-0.059016947,0.059006307,-0.07744548,-0.07907484,0.08789081,0.04978441
ENSG00000159423.17,0.13082884,0.069140755,-0.016583057,0.017878907,0.075423926,-0.11696532,0.023091251,-0.03457718,-0.0073786713,0.022478271,-0.034316614,-0.03834144,0.04368209,-0.067711465,0.06558226,-0.02650314,0.03947925,-0.06640914,0.1182084,-0.057062075
ENSG00000211454.15,-0.025087953,-0.10592229,0.07665317,-0.002312842,0.08343414,0.04374896,-0.07209616,-0.022397948,-0.049863,-0.06575852,0.020401139,0.069278136,0.08264691,-0.03653594,0.013950009,-0.044051643,-0.0763611,0.0014828435,0.038971826,0.028590886
ENSG00000040487.13,-0.009825967,-0.07085287,0.04023683,-0.048974276,0.034980144,-0.061117206,-0.12948893,0.09249499,-0.08168996,0.026013782,0.03935335,0.037352692,-0.032788392,-0.096354805,0.06093854,-5.0764816e-06,-0.0010395162,0.07505874,-0.018435301,-0.015561706
ENSG00000162542.14,0.015706971,-0.060617533,0.046043016,0.047553107,-0.019619511,0.01981795,0.033878274,0.011269451,-0.020817796,-0.11774984,0.030859813,-0.038286787,0.04355998,-0.016751673,0.038830623,-0.12885,-0.07925649,-0.053597268,0.040732898,-0.0136432005
