,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
ENSG00000084073.10,0.5426,0.45740000000000003,0.17081411520323098,0.00028169673,0.00021378152,25.8,20.114485981308412,0.6428571428571429,0.5957943925233645,2.3029949647270187,1.9816336759793183,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000168003.18,0.5426,0.45740000000000003,0.17081411520323098,0.00044822245,0.00045446353,50.378571428571426,42.96261682242991,0.8214285714285714,0.7616822429906542,4.3030274310549075,4.632424225710539,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000148481.14,0.5426,0.45740000000000003,0.17081411520323098,5.853558e-05,5.616481e-05,4.628571428571429,4.598130841121495,0.37142857142857144,0.2616822429906542,0.4527608747036765,0.5464881507043107,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000279088.1,0.5426,0.45740000000000003,0.17081411520323098,5.3745465e-05,6.401207e-05,5.357142857142857,4.86214953271028,0.3,0.205607476635514,0.4450258308694985,0.5710627061467366,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000038002.9,0.5426,0.45740000000000003,0.17081411520323098,5.669761e-05,4.4393222e-05,5.2,4.441588785046729,0.34285714285714286,0.25,0.5705789107474166,0.5258715928222938,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000189325.7,0.5424,0.4576,0.1700082931440291,0.00022484243,0.00013222382,41.7,11.123831775700934,0.5642857142857143,0.39485981308411217,2.413765906630938,1.0916069706684457,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000007402.12,0.5422,0.4578,0.16920252614587805,3.1080947e-06,1.8230998e-06,0.4714285714285714,0.14018691588785046,0.05714285714285714,0.03271028037383177,0.03575636058690098,0.012693651922740717,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000185127.6,0.542,0.45799999999999996,0.1683968139415849,5.244342e-05,4.8345344e-05,4.892857142857143,5.855140186915888,0.3,0.23130841121495327,0.4747958640954204,0.4950179415927547,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000104047.15,0.542,0.45799999999999996,0.1683968139415849,0.00013186003,0.000108268716,15.535714285714286,6.836448598130841,0.4928571428571429,0.3621495327102804,1.2283524060034818,0.8062084604531649,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000188321.14,0.5418,0.45820000000000005,0.16759115626406396,5.2868986e-06,6.814715e-06,0.4357142857142857,0.8200934579439252,0.10714285714285714,0.07242990654205607,0.06872909156371947,0.0817036320387373,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000084731.15,0.5418,0.45820000000000005,0.16759115626406396,7.860732e-06,3.6641509e-06,1.9428571428571428,0.719626168224299,0.05714285714285714,0.07710280373831775,0.14063544237496045,0.0601081658397533,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000183751.15,0.5418,0.45820000000000005,0.16759115626406396,8.882037e-05,6.308902e-05,7.6,5.315420560747664,0.42857142857142855,0.3317757009345794,0.6539081190515845,0.5823510109663216,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000175567.11,0.5418,0.45820000000000005,0.16759115626406396,0.00014762039,0.000121111916,11.457142857142857,9.817757009345794,0.5285714285714286,0.338785046728972,1.0985283198567408,0.9933960698930947,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000197712.12,0.5418,0.45820000000000005,0.16759115626406396,7.5918295e-05,3.895467e-05,7.3428571428571425,3.446261682242991,0.30714285714285716,0.20093457943925233,0.7614059586850365,0.3493026250478449,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000075131.10,0.5416,0.45840000000000003,0.16678555284633767,8.8621804e-05,4.6684258e-05,7.064285714285714,4.857476635514018,0.30714285714285716,0.20093457943925233,0.5304228220219531,0.4086345088396734,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000239175.1,0.5416,0.45840000000000003,0.16678555284633767,1.0333862e-09,5.054258e-10,0.0,0.0,0.0,0.0,0.0,0.0,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000102241.12,0.5416,0.45840000000000003,0.16678555284633767,0.00031646888,0.00021952686,18.84285714285714,14.658878504672897,0.6285714285714286,0.4672897196261682,1.5470474408186956,1.7571503701008195,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000046647.14,0.5414,0.4586,0.16598000342153352,0.000116866824,9.6772244e-05,7.492857142857143,8.764018691588785,0.4,0.3294392523364486,0.7857689424979931,0.9167218476910172,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000176024.18,0.5414,0.4586,0.16598000342153352,6.5259756e-06,4.4686467e-06,0.6642857142857143,0.25,0.04285714285714286,0.035046728971962614,0.06761824555241296,0.03190896279695409,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000240583.14,0.5414,0.4586,0.16598000342153352,4.2486714e-05,4.5521898e-05,6.2,3.439252336448598,0.17142857142857143,0.13317757009345793,0.4548702277576446,0.3972694786281928,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000021574.13,0.5414,0.4586,0.16598000342153352,0.00018568299,0.000116048934,6.207142857142857,4.7453271028037385,0.4,0.3130841121495327,0.5752842454314353,0.6873266765932114,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000155066.16,0.5414,0.4586,0.16598000342153352,5.795845e-05,1.4571809e-05,1.957142857142857,2.0934579439252334,0.12142857142857143,0.10046728971962617,0.1978834260726724,0.17611765438969856,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000135373.13,0.5412,0.4588,0.16517450772288556,0.0007225597,0.00060505164,82.75,52.98364485981308,0.8785714285714286,0.8481308411214953,6.30704502135478,6.153904378783369,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000061987.16,0.541,0.45899999999999996,0.16436906548373265,5.200567e-05,4.697295e-05,6.0285714285714285,3.7336448598130842,0.2785714285714286,0.26401869158878505,0.4493608908395609,0.439664708024488,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000148180.21,0.541,0.45899999999999996,0.16436906548373265,0.0005637864,0.00046245495,46.22142857142857,37.31542056074766,0.8142857142857143,0.6915887850467289,4.515581633307562,4.480640797294756,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000267575.7,0.541,0.45899999999999996,0.16436906548373265,2.3685994e-05,2.8184235e-05,2.8857142857142857,2.2453271028037385,0.18571428571428572,0.1822429906542056,0.2797859673182016,0.30881352842289006,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000185442.13,0.541,0.45899999999999996,0.16436906548373265,9.987925e-06,1.2037313e-05,1.85,1.2476635514018692,0.22142857142857142,0.14018691588785046,0.1375254445282993,0.16593696671709274,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000114767.7,0.541,0.45899999999999996,0.16436906548373265,0.000119199,0.000106961634,9.035714285714286,7.359813084112149,0.4785714285714286,0.39953271028037385,0.8700244158724566,0.766384473848106,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000182359.15,0.5408,0.45920000000000005,0.16356367643751846,0.00011361562,8.4837164e-05,8.028571428571428,4.287383177570093,0.37857142857142856,0.1985981308411215,0.992468746715837,0.5829436846453293,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000068654.17,0.5408,0.45920000000000005,0.16356367643751846,2.9167912e-05,4.709496e-05,2.9642857142857144,3.6869158878504673,0.2785714285714286,0.2827102803738318,0.2689168694792998,0.4351840718974326,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000146410.12,0.5408,0.45920000000000005,0.16356367643751846,3.4878758e-05,3.0898267e-05,4.121428571428571,2.6121495327102804,0.24285714285714285,0.1542056074766355,0.32852080775452386,0.27296151565920934,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000174365.20,0.5406,0.45940000000000003,0.1627583403177918,0.00014084173,0.00012297726,11.614285714285714,8.467289719626168,0.4357142857142857,0.34813084112149534,0.845835533887484,0.9483540270906521,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000198842.10,0.5406,0.45940000000000003,0.1627583403177918,6.204305e-06,7.2475245e-08,0.2357142857142857,0.002336448598130841,0.014285714285714285,0.002336448598130841,0.03701758878617636,0.0003553858296013083,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000141682.12,0.5404,0.4596,0.16195305685820416,0.00047705226,0.00043420258,54.33571428571429,37.3177570093458,0.6642857142857143,0.6355140186915887,4.206401910675041,3.6014233312972204,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000187164.20,0.5404,0.4596,0.16195305685820416,0.00015887403,0.00015850687,16.42142857142857,12.815420560747663,0.5428571428571428,0.4602803738317757,1.1327245370818504,1.3309799426158382,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000139496.16,0.5404,0.4596,0.16195305685820416,0.00035662015,0.00021803394,27.428571428571427,17.0911214953271,0.6357142857142857,0.5233644859813084,1.967973117963529,1.8260673005485297,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000108784.10,0.5404,0.4596,0.16195305685820416,4.450426e-05,3.3156237e-05,2.392857142857143,2.4088785046728973,0.2714285714285714,0.15654205607476634,0.2203261967806515,0.3675448285508471,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000196639.7,0.5404,0.4596,0.16195305685820416,6.629693e-05,3.9920138e-05,11.178571428571429,3.661214953271028,0.29285714285714287,0.21728971962616822,0.6880128222514426,0.3881124302709746,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000262919.8,0.5402,0.4598,0.1611478257925102,6.578171e-05,7.915314e-05,6.085714285714285,5.261682242990654,0.2714285714285714,0.2523364485981308,0.6094294264292522,0.6459595051084961,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000137814.12,0.5402,0.4598,0.1611478257925102,0.0001430406,6.260718e-05,6.264285714285714,4.904205607476635,0.3142857142857143,0.27102803738317754,0.5262724574941164,0.480311301967655,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000117000.9,0.5402,0.4598,0.1611478257925102,5.2551037e-05,3.3857083e-05,3.892857142857143,3.3551401869158877,0.30714285714285716,0.19626168224299065,0.38498084281628375,0.32614370987187913,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000170439.7,0.54,0.45999999999999996,0.16034264685456778,6.84981e-05,8.64459e-05,9.635714285714286,4.13785046728972,0.34285714285714286,0.26401869158878505,0.7639206600628037,0.5498961606161509,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000002933.9,0.54,0.45999999999999996,0.16034264685456778,0.000649172,0.0007914781,62.45,44.191588785046726,0.7857142857142857,0.7733644859813084,6.096589419207503,6.822743602326521,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000130856.17,0.54,0.45999999999999996,0.16034264685456778,1.8029581e-05,2.6563934e-05,1.5785714285714285,2.161214953271028,0.12142857142857143,0.07242990654205607,0.13654188472015966,0.2273086586931607,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000211456.13,0.54,0.45999999999999996,0.16034264685456778,5.7438167e-05,5.66813e-05,9.992857142857142,5.366822429906542,0.29285714285714287,0.2850467289719626,0.5426535141585468,0.4711350373864995,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000155868.8,0.54,0.45999999999999996,0.16034264685456778,0.000116005765,0.000114946604,6.621428571428571,6.266355140186916,0.42142857142857143,0.3294392523364486,0.7701390294046363,0.7499931382715043,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000055130.17,0.5398,0.46020000000000005,0.15953751977833575,0.00014906572,0.00010119407,17.807142857142857,8.80607476635514,0.5428571428571428,0.352803738317757,1.2245881577107292,1.019974275227958,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000169583.13,0.5398,0.46020000000000005,0.15953751977833575,0.00034241306,0.0001616141,27.435714285714287,10.394859813084112,0.5,0.32710280373831774,3.358574958085349,1.4291072468069652,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000081177.18,0.5398,0.46020000000000005,0.15953751977833575,2.5080168e-05,2.0646507e-05,3.8,2.102803738317757,0.17142857142857143,0.16355140186915887,0.27145430523834185,0.20706305510926862,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000080608.10,0.5396,0.46040000000000003,0.15873244429787614,0.0004086892,0.00035145404,25.364285714285714,24.147196261682243,0.7285714285714285,0.6121495327102804,2.4961462781172865,2.802981350504053,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
