Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
,ENSG00000112562.19,0.25223473,Z_2,,-0.25223473,,,,,,,,,,,,,,,,,
,ENSG00000165813.20,0.24943705,Z_2,,0.24943705,,,,,,,,,,,,,,,,,
,ENSG00000163220.11,0.24827267,Z_2,,-0.24827267,,,,,,,,,,,,,,,,,
,ENSG00000198786.2,0.24823391,Z_2,,0.24823391,,,,,,,,,,,,,,,,,
,ENSG00000141753.7,0.2474005,Z_2,,-0.2474005,,,,,,,,,,,,,,,,,
,ENSG00000103811.18,0.23353964,Z_2,,-0.23353964,,,,,,,,,,,,,,,,,
,ENSG00000134240.12,0.23290084,Z_2,,0.23290084,,,,,,,,,,,,,,,,,
,ENSG00000118971.9,0.23037852,Z_2,,0.23037852,,,,,,,,,,,,,,,,,
,ENSG00000103888.17,0.22060286,Z_2,,0.22060286,,,,,,,,,,,,,,,,,
,ENSG00000168243.11,0.21829082,Z_2,,-0.21829082,,,,,,,,,,,,,,,,,
,ENSG00000179674.4,0.21797933,Z_2,,0.21797933,,,,,,,,,,,,,,,,,
,ENSG00000079112.10,0.21613483,Z_2,,-0.21613483,,,,,,,,,,,,,,,,,
,ENSG00000222724.1,0.21303645,Z_2,,0.21303645,,,,,,,,,,,,,,,,,
,ENSG00000124486.14,0.21243489,Z_2,,0.21243489,,,,,,,,,,,,,,,,,
,ENSG00000002726.21,0.21116666,Z_2,,0.21116666,,,,,,,,,,,,,,,,,
,ENSG00000173110.8,0.21067892,Z_2,,0.21067892,,,,,,,,,,,,,,,,,
,ENSG00000117399.14,0.20891345,Z_2,,-0.20891345,,,,,,,,,,,,,,,,,
,ENSG00000178878.13,0.20851655,Z_2,,0.20851655,,,,,,,,,,,,,,,,,
,ENSG00000104808.8,0.2072434,Z_2,,0.2072434,,,,,,,,,,,,,,,,,
,ENSG00000185187.13,0.20723796,Z_2,,-0.20723796,,,,,,,,,,,,,,,,,
,ENSG00000134531.10,0.20456147,Z_2,,0.20456147,,,,,,,,,,,,,,,,,
,ENSG00000143878.10,0.20049612,Z_2,,0.20049612,,,,,,,,,,,,,,,,,
,ENSG00000211897.9,0.19963151,Z_2,,-0.19963151,,,,,,,,,,,,,,,,,
,ENSG00000084073.10,0.19736248,Z_2,,-0.19736248,,,,,,,,,,,,,,,,,
,ENSG00000162896.6,0.19699435,Z_2,,0.19699435,,,,,,,,,,,,,,,,,
,ENSG00000133119.13,0.19436382,Z_2,,-0.19436382,,,,,,,,,,,,,,,,,
,ENSG00000089472.17,0.19281739,Z_2,,0.19281739,,,,,,,,,,,,,,,,,
,ENSG00000131746.13,0.19054665,Z_2,,-0.19054665,,,,,,,,,,,,,,,,,
,ENSG00000139289.14,0.18925087,Z_2,,0.18925087,,,,,,,,,,,,,,,,,
,ENSG00000129538.14,0.18730664,Z_2,,-0.18730664,,,,,,,,,,,,,,,,,
,ENSG00000150687.12,0.18660377,Z_2,,-0.18660377,,,,,,,,,,,,,,,,,
,ENSG00000070501.12,0.1865585,Z_2,,0.1865585,,,,,,,,,,,,,,,,,
,ENSG00000164266.11,0.18646584,Z_2,,-0.18646584,,,,,,,,,,,,,,,,,
,ENSG00000119630.14,0.18503354,Z_2,,0.18503354,,,,,,,,,,,,,,,,,
,ENSG00000205364.4,0.18282197,Z_2,,0.18282197,,,,,,,,,,,,,,,,,
,ENSG00000129534.14,0.3420833,Z_3,,,-0.3420833,,,,,,,,,,,,,,,,
,ENSG00000211892.4,0.33295998,Z_3,,,-0.33295998,,,,,,,,,,,,,,,,
,ENSG00000251562.8,0.3099118,Z_3,,,-0.3099118,,,,,,,,,,,,,,,,
,ENSG00000173467.9,0.2891026,Z_3,,,0.2891026,,,,,,,,,,,,,,,,
,ENSG00000184292.7,0.28186977,Z_3,,,0.28186977,,,,,,,,,,,,,,,,
,ENSG00000211592.8,0.2769261,Z_3,,,-0.2769261,,,,,,,,,,,,,,,,
,ENSG00000117472.10,0.26798025,Z_3,,,0.26798025,,,,,,,,,,,,,,,,
,ENSG00000104765.16,0.26738474,Z_3,,,0.26738474,,,,,,,,,,,,,,,,
,ENSG00000168374.11,0.26120713,Z_3,,,0.26120713,,,,,,,,,,,,,,,,
,ENSG00000114315.4,0.25934085,Z_3,,,-0.25934085,,,,,,,,,,,,,,,,
,ENSG00000188257.12,0.24711064,Z_3,,,-0.24711064,,,,,,,,,,,,,,,,
,ENSG00000164251.5,0.24283573,Z_3,,,0.24283573,,,,,,,,,,,,,,,,
,ENSG00000145384.4,0.23836306,Z_3,,,0.23836306,,,,,,,,,,,,,,,,
,ENSG00000177984.7,0.23444363,Z_3,,,0.23444363,,,,,,,,,,,,,,,,
,ENSG00000079112.10,0.2333557,Z_3,,,0.2333557,,,,,,,,,,,,,,,,
,ENSG00000128944.13,0.23138624,Z_3,,,-0.23138624,,,,,,,,,,,,,,,,
,ENSG00000173852.15,0.2290088,Z_3,,,-0.2290088,,,,,,,,,,,,,,,,
,ENSG00000134531.10,0.22487119,Z_3,,,0.22487119,,,,,,,,,,,,,,,,
,ENSG00000187079.20,0.22451231,Z_3,,,-0.22451231,,,,,,,,,,,,,,,,
,ENSG00000183844.17,0.22403349,Z_3,,,0.22403349,,,,,,,,,,,,,,,,
,ENSG00000137563.13,0.22288407,Z_3,,,0.22288407,,,,,,,,,,,,,,,,
,ENSG00000133119.13,0.22235028,Z_3,,,-0.22235028,,,,,,,,,,,,,,,,
,ENSG00000164109.14,0.21675166,Z_3,,,-0.21675166,,,,,,,,,,,,,,,,
,ENSG00000089048.15,0.21606196,Z_3,,,-0.21606196,,,,,,,,,,,,,,,,
,ENSG00000089685.15,0.21105133,Z_3,,,-0.21105133,,,,,,,,,,,,,,,,
,ENSG00000204385.13,0.20745155,Z_3,,,0.20745155,,,,,,,,,,,,,,,,
,ENSG00000245532.9,0.20630519,Z_3,,,-0.20630519,,,,,,,,,,,,,,,,
,ENSG00000211897.9,0.20495994,Z_3,,,-0.20495994,,,,,,,,,,,,,,,,
,ENSG00000115641.19,0.20269884,Z_3,,,0.20269884,,,,,,,,,,,,,,,,
,ENSG00000211896.7,0.20140383,Z_3,,,-0.20140383,,,,,,,,,,,,,,,,
,ENSG00000171792.11,0.1991772,Z_3,,,-0.1991772,,,,,,,,,,,,,,,,
,ENSG00000088325.16,0.19600445,Z_3,,,-0.19600445,,,,,,,,,,,,,,,,
,ENSG00000242247.11,0.1952883,Z_3,,,0.1952883,,,,,,,,,,,,,,,,
,ENSG00000165195.16,0.19470333,Z_3,,,-0.19470333,,,,,,,,,,,,,,,,
,ENSG00000125740.14,0.19246891,Z_3,,,-0.19246891,,,,,,,,,,,,,,,,
,ENSG00000148690.12,0.19130303,Z_3,,,-0.19130303,,,,,,,,,,,,,,,,
,ENSG00000168938.6,0.18941355,Z_3,,,0.18941355,,,,,,,,,,,,,,,,
,ENSG00000056736.10,0.18938014,Z_3,,,-0.18938014,,,,,,,,,,,,,,,,
,ENSG00000170540.15,0.18705848,Z_3,,,0.18705848,,,,,,,,,,,,,,,,
,ENSG00000029993.15,0.18517508,Z_3,,,-0.18517508,,,,,,,,,,,,,,,,
,ENSG00000163220.11,0.18466932,Z_3,,,0.18466932,,,,,,,,,,,,,,,,
,ENSG00000140297.13,0.18393622,Z_3,,,0.18393622,,,,,,,,,,,,,,,,
,ENSG00000177853.14,0.18372478,Z_3,,,-0.18372478,,,,,,,,,,,,,,,,
,ENSG00000168243.11,0.18147227,Z_3,,,-0.18147227,,,,,,,,,,,,,,,,
,ENSG00000213626.13,0.18099083,Z_3,,,-0.18099083,,,,,,,,,,,,,,,,
,ENSG00000125378.16,0.17966643,Z_3,,,0.17966643,,,,,,,,,,,,,,,,
,ENSG00000164266.11,0.1792872,Z_3,,,0.1792872,,,,,,,,,,,,,,,,
,ENSG00000224057.1,0.17686404,Z_3,,,0.17686404,,,,,,,,,,,,,,,,
,ENSG00000141753.7,0.17657709,Z_3,,,-0.17657709,,,,,,,,,,,,,,,,
,ENSG00000051108.15,0.17551245,Z_3,,,-0.17551245,,,,,,,,,,,,,,,,
,ENSG00000019582.16,0.35691994,Z_4,,,,-0.35691994,,,,,,,,,,,,,,,
,ENSG00000211592.8,0.31731412,Z_4,,,,-0.31731412,,,,,,,,,,,,,,,
,ENSG00000137563.13,0.28134367,Z_4,,,,0.28134367,,,,,,,,,,,,,,,
,ENSG00000198786.2,0.27727744,Z_4,,,,-0.27727744,,,,,,,,,,,,,,,
,ENSG00000188257.12,0.27114436,Z_4,,,,-0.27114436,,,,,,,,,,,,,,,
,ENSG00000115414.21,0.2677779,Z_4,,,,-0.2677779,,,,,,,,,,,,,,,
,ENSG00000139289.14,0.26242638,Z_4,,,,0.26242638,,,,,,,,,,,,,,,
,ENSG00000104765.16,0.24815218,Z_4,,,,0.24815218,,,,,,,,,,,,,,,
,ENSG00000015475.19,0.2471574,Z_4,,,,0.2471574,,,,,,,,,,,,,,,
,ENSG00000211677.2,0.23393734,Z_4,,,,-0.23393734,,,,,,,,,,,,,,,
,ENSG00000211897.9,0.23230848,Z_4,,,,-0.23230848,,,,,,,,,,,,,,,
,ENSG00000133935.7,0.2318721,Z_4,,,,0.2318721,,,,,,,,,,,,,,,
,ENSG00000165813.20,0.22857602,Z_4,,,,-0.22857602,,,,,,,,,,,,,,,
,ENSG00000112562.19,0.22733833,Z_4,,,,-0.22733833,,,,,,,,,,,,,,,
,ENSG00000268621.6,0.22441392,Z_4,,,,-0.22441392,,,,,,,,,,,,,,,
,ENSG00000160551.12,0.22246735,Z_4,,,,-0.22246735,,,,,,,,,,,,,,,
,ENSG00000088325.16,0.22119597,Z_4,,,,0.22119597,,,,,,,,,,,,,,,
,ENSG00000214049.8,0.21761103,Z_4,,,,0.21761103,,,,,,,,,,,,,,,
,ENSG00000068745.15,0.21543014,Z_4,,,,0.21543014,,,,,,,,,,,,,,,
,ENSG00000115386.6,0.21352984,Z_4,,,,-0.21352984,,,,,,,,,,,,,,,
,ENSG00000155097.12,0.21263044,Z_4,,,,0.21263044,,,,,,,,,,,,,,,
,ENSG00000130707.18,0.20918253,Z_4,,,,-0.20918253,,,,,,,,,,,,,,,
,ENSG00000204389.10,0.2089632,Z_4,,,,-0.2089632,,,,,,,,,,,,,,,
,ENSG00000122884.13,0.20840053,Z_4,,,,0.20840053,,,,,,,,,,,,,,,
,ENSG00000089063.15,0.20744115,Z_4,,,,0.20744115,,,,,,,,,,,,,,,
,ENSG00000145384.4,0.20592938,Z_4,,,,0.20592938,,,,,,,,,,,,,,,
,ENSG00000152422.16,0.20458998,Z_4,,,,0.20458998,,,,,,,,,,,,,,,
,ENSG00000164266.11,0.20377883,Z_4,,,,-0.20377883,,,,,,,,,,,,,,,
,ENSG00000171124.13,0.20317444,Z_4,,,,-0.20317444,,,,,,,,,,,,,,,
,ENSG00000206503.13,0.20309715,Z_4,,,,-0.20309715,,,,,,,,,,,,,,,
,ENSG00000103888.17,0.20100753,Z_4,,,,0.20100753,,,,,,,,,,,,,,,
,ENSG00000165195.16,0.2005949,Z_4,,,,0.2005949,,,,,,,,,,,,,,,
,ENSG00000118523.6,0.19997396,Z_4,,,,0.19997396,,,,,,,,,,,,,,,
,ENSG00000171345.13,0.19974437,Z_4,,,,0.19974437,,,,,,,,,,,,,,,
,ENSG00000169288.18,0.19970126,Z_4,,,,-0.19970126,,,,,,,,,,,,,,,
,ENSG00000173334.4,0.19755593,Z_4,,,,0.19755593,,,,,,,,,,,,,,,
,ENSG00000143416.21,0.19729586,Z_4,,,,-0.19729586,,,,,,,,,,,,,,,
,ENSG00000172016.16,0.19697818,Z_4,,,,-0.19697818,,,,,,,,,,,,,,,
,ENSG00000137168.8,0.19566382,Z_4,,,,0.19566382,,,,,,,,,,,,,,,
,ENSG00000110917.8,0.19537218,Z_4,,,,-0.19537218,,,,,,,,,,,,,,,
,ENSG00000211892.4,0.19327353,Z_4,,,,-0.19327353,,,,,,,,,,,,,,,
,ENSG00000171004.18,0.19283544,Z_4,,,,0.19283544,,,,,,,,,,,,,,,
,ENSG00000010256.11,0.19141638,Z_4,,,,-0.19141638,,,,,,,,,,,,,,,
,ENSG00000089685.15,0.19060561,Z_4,,,,0.19060561,,,,,,,,,,,,,,,
,ENSG00000085662.14,0.18707438,Z_4,,,,0.18707438,,,,,,,,,,,,,,,
,ENSG00000104450.13,0.18603216,Z_4,,,,0.18603216,,,,,,,,,,,,,,,
,ENSG00000111701.7,0.183645,Z_4,,,,0.183645,,,,,,,,,,,,,,,
,ENSG00000173110.8,0.18349399,Z_4,,,,-0.18349399,,,,,,,,,,,,,,,
,ENSG00000164949.8,0.18289454,Z_4,,,,0.18289454,,,,,,,,,,,,,,,
,ENSG00000129538.14,0.17983264,Z_4,,,,0.17983264,,,,,,,,,,,,,,,
,ENSG00000182600.9,0.34896305,Z_5,,,,,-0.34896305,,,,,,,,,,,,,,
,ENSG00000251562.8,0.3173493,Z_5,,,,,-0.3173493,,,,,,,,,,,,,,
,ENSG00000100097.12,0.31340346,Z_5,,,,,-0.31340346,,,,,,,,,,,,,,
,ENSG00000211892.4,0.28282082,Z_5,,,,,-0.28282082,,,,,,,,,,,,,,
,ENSG00000141753.7,0.2801437,Z_5,,,,,-0.2801437,,,,,,,,,,,,,,
,ENSG00000112562.19,0.26398948,Z_5,,,,,-0.26398948,,,,,,,,,,,,,,
,ENSG00000111832.13,0.24639618,Z_5,,,,,-0.24639618,,,,,,,,,,,,,,
,ENSG00000085231.14,0.24198513,Z_5,,,,,0.24198513,,,,,,,,,,,,,,
,ENSG00000015413.9,0.23970218,Z_5,,,,,-0.23970218,,,,,,,,,,,,,,
